condition,variant_index,randomized_scale,v_max,v_max_success_rate,yaw_offset_mean,yaw_variance,var_vx,var_vy,var_roll,var_pitch,base_variance_scalar,mean_power,cot,urdf_path
baseline,0,1.0,3.75,0.8,0.018064059132767134,5.918587434693128,0.0024769280164731802,0.00366588812326107,0.0010505113128582951,0.000250828636859288,0.0018610390223629586,125.73191747029622,1.6484447810427996,/root/autodl-tmp/walk-these-ways_eval/resources/robots/go1/urdf/go1.urdf
symmetric,0,0.8264316843677579,1.375,0.6,0.47279630228678804,6.484322563098125,0.5176521183495925,0.14809924384602857,4.420260364027799,0.1482807700119134,1.3085731240588334,381.3015088217599,121.06821383852412,/root/autodl-tmp/walk-these-ways_eval/eval_suite/assets/symmetric_v64/urdf/variant_023.urdf
symmetric,1,0.866301178736941,1.625,0.6,0.10319872651706653,2.9426847349538647,0.09835225043098149,0.1668299803975133,0.04005393913375413,0.07521359568816453,0.09511244141260336,155.20412592569986,28.376973912657967,/root/autodl-tmp/walk-these-ways_eval/eval_suite/assets/symmetric_v64/urdf/variant_053.urdf
symmetric,2,0.9037759359418137,1.25,0.4,0.11393133836909618,0.002389495049985247,0.03048712056709651,0.08306621274189367,0.6624103197628063,0.01123454173427397,0.1967995487015176,137.13385365804035,27.07080987596425,/root/autodl-tmp/walk-these-ways_eval/eval_suite/assets/symmetric_v64/urdf/variant_017.urdf
symmetric,3,0.8399727235889455,1.0,0.2,0.16303093079055286,1.1485306620554148,0.2530274346361931,0.17278196466101553,4.60151582538782,0.0659679209958293,1.2733232864202146,334.73837615966795,140.05620418114387,/root/autodl-tmp/walk-these-ways_eval/eval_suite/assets/symmetric_v64/urdf/variant_061.urdf
symmetric,4,0.9095624674424181,0.125,0.2,0.03760574073865834,3.6732705713007174,0.03744819471491949,0.07841216279114739,0.2788216319394015,0.0037936982103637822,0.09961892191395805,141.2859759012858,29.408743317065635,/root/autodl-tmp/walk-these-ways_eval/eval_suite/assets/symmetric_v64/urdf/variant_040.urdf
symmetric,5,0.8780742119274623,1.25,0.4,1.8171296781905566,1.2156893547384426,0.1520677560865411,0.19965308291576983,6.997364571784595,0.019717551021784588,1.8422007404521725,183.15936824253626,146.77378029100836,/root/autodl-tmp/walk-these-ways_eval/eval_suite/assets/symmetric_v64/urdf/variant_030.urdf
symmetric,6,0.9385914621628724,0.0,0.0,2.0706383182491557,1.0318821211933367,0.06300883459025768,0.09986123061202809,5.1054537971970815,0.21884089441826202,1.3717911892044075,140.60270391191756,309.45792658579177,/root/autodl-tmp/walk-these-ways_eval/eval_suite/assets/symmetric_v64/urdf/variant_015.urdf
symmetric,7,0.9608552299614216,1.0,0.2,0.21288187276299336,9.544347049519383,0.008716968664016424,0.05258465197789614,0.029953556442385624,0.006864869681822155,0.024530011691530084,103.97313519795736,18.861680427363964,/root/autodl-tmp/walk-these-ways_eval/eval_suite/assets/symmetric_v64/urdf/variant_047.urdf
symmetric,8,0.9270889339237175,2.0,0.2,0.10574095765987046,0.25546249165515106,0.013739203296763982,0.04699580077229977,0.023263001767973607,0.002331096111836491,0.02158227548721846,136.1787851969401,33.325274829676765,/root/autodl-tmp/walk-these-ways_eval/eval_suite/assets/symmetric_v64/urdf/variant_054.urdf
symmetric,9,1.044888403437581,0.0,0.0,0.18352696147140535,8.022108111616562,0.14175003267701258,0.15249096940418136,0.03267917349415741,0.026606956473929615,0.08838178301232025,198.38046157836914,38.64326317423604,/root/autodl-tmp/walk-these-ways_eval/eval_suite/assets/symmetric_v64/urdf/variant_027.urdf
symmetric,10,0.8802249885286216,1.0,0.2,0.3814738721550679,0.7111246224736848,0.06952483568616656,0.012847829029728303,0.22722099058377823,0.01974175274872509,0.08233385201209954,143.4236545562744,306.7534047327549,/root/autodl-tmp/walk-these-ways_eval/eval_suite/assets/symmetric_v64/urdf/variant_031.urdf
symmetric,11,0.8619940712424228,1.75,0.6,0.08612560713384383,8.667723689310941,0.05960050031975675,0.0804692988814858,7.410477579447101,0.006256303154056117,1.8892009204506,210.46409731547038,60.580251893676426,/root/autodl-tmp/walk-these-ways_eval/eval_suite/assets/symmetric_v64/urdf/variant_055.urdf
symmetric,12,0.8662126890941113,2.0,0.2,0.06832213039450796,3.7442778494812887,0.054739560833701024,0.06679742027119327,0.026149624261141237,0.0249195837374401,0.04315154727586891,184.39556276957194,58.4648121197992,/root/autodl-tmp/walk-these-ways_eval/eval_suite/assets/symmetric_v64/urdf/variant_005.urdf
symmetric,13,0.8607206932315326,2.0,0.2,0.11066340955662973,7.077485664230762,0.27675329622353817,0.07774439129719662,4.466446262753591,0.03627292296753145,1.2143042183104642,195.55803418477376,48.83509290311358,/root/autodl-tmp/walk-these-ways_eval/eval_suite/assets/symmetric_v64/urdf/variant_041.urdf
symmetric,14,1.05504359209162,0.625,0.4,1.369876368600812,2.927477338331741,0.04797805001705257,0.1306861333690098,0.9246087179818034,0.13689430671319675,0.3100418020202656,116.07492809019227,90.58286925229216,/root/autodl-tmp/walk-these-ways_eval/eval_suite/assets/symmetric_v64/urdf/variant_028.urdf
symmetric,15,0.9082139763640703,2.25,0.4,0.13499534823676718,0.002495176916378301,0.011732126391774088,0.03743888751142324,7.447531781038439,0.008058357326110172,1.8761902880669366,146.28297358194988,29.43052459091146,/root/autodl-tmp/walk-these-ways_eval/eval_suite/assets/symmetric_v64/urdf/variant_007.urdf
full_asym,0,0.8264316843677579,1.25,0.4,1.167055548270741,5.048102195722501,0.7259617767100086,0.494254464165252,4.175398787593718,0.13252412762288202,1.3820347890229652,356.7322546846123,197.2288019641238,/root/autodl-tmp/walk-these-ways_eval/eval_suite/assets/full_asym_v64/urdf/variant_023.urdf
full_asym,1,0.866301178736941,1.5,0.4,0.09307997819869719,1.1981546700777705,0.05870463843575315,0.12388499440660027,0.2676430775482382,0.04236272282312572,0.12314885830342932,152.99510864257812,23.272059065709705,/root/autodl-tmp/walk-these-ways_eval/eval_suite/assets/full_asym_v64/urdf/variant_053.urdf
full_asym,2,0.9037759359418137,0.125,0.2,0.05955313903910207,1.8670161590462533,0.03542089126532443,0.10413400922927228,0.33299292746029363,0.018890729167373277,0.12285963928056591,145.70144660949708,30.40740180440528,/root/autodl-tmp/walk-these-ways_eval/eval_suite/assets/full_asym_v64/urdf/variant_017.urdf
full_asym,3,0.8399727235889455,1.0,0.2,1.1141187604921872,0.4149477229045549,0.044505904200586845,0.09180591383788579,0.6497264469064196,0.1905823131549666,0.24415514452496473,319.01159398696,787.9657872705449,/root/autodl-tmp/walk-these-ways_eval/eval_suite/assets/full_asym_v64/urdf/variant_061.urdf
full_asym,4,0.9095624674424181,1.0,0.2,0.191378310343456,6.1727661539682455,0.3290573251938793,0.20198127973603705,0.07309036485454799,0.0699816658676974,0.16852765891304045,140.9804839070638,53.105912196619904,/root/autodl-tmp/walk-these-ways_eval/eval_suite/assets/full_asym_v64/urdf/variant_040.urdf
